panty	[(0, 5, 'B-BRAND')]
травяной чай	[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE')]
ножи кухонны	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
бюстгальтера elda	[(0, 12, 'B-TYPE'), (13, 17, 'B-BRAND')]
халапиньо	[(0, 9, 'B-TYPE')]
аджи	[(0, 4, 'B-BRAND')]
круаааны	[(0, 8, 'B-TYPE')]
яшки	[(0, 4, 'B-TYPE')]
боржоми в стекле	[(0, 7, 'B-BRAND'), (8, 9, 'O'), (10, 16, 'O')]
дримс	[(0, 5, 'B-BRAND')]
пюре яблочное	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
полукопченная колба	[(0, 13, 'B-TYPE'), (14, 19, 'I-TYPE')]
шарлиз карамель	[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
всеслав баран	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
цыпленок в собственном соку	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 22, 'O'), (23, 27, 'O')]
столы садовы	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
пивно	[(0, 5, 'B-TYPE')]
напитки белли	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
ионизаторы возду	[(0, 10, 'B-TYPE'), (11, 16, 'I-TYPE')]
мафинны	[(0, 7, 'B-TYPE')]
мятные	[(0, 6, 'B-TYPE')]
мистраль рис	[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
энеркетик	[(0, 9, 'B-TYPE')]
спирали от камаров	[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
дхуи	[(0, 4, 'B-TYPE')]
круассаны с шоколадом 3 хлеб завод	[(0, 9, 'B-TYPE'), (10, 11, 'O'), (12, 21, 'O'), (22, 23, 'B-BRAND'), (24, 28, 'I-BRAND'), (29, 34, 'I-BRAND')]
joga	[(0, 4, 'B-BRAND')]
прияник	[(0, 7, 'B-TYPE')]
яблоки голден	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
ромашковый	[(0, 10, 'B-TYPE')]
лимон тенд	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
тварожни	[(0, 8, 'B-TYPE')]
творожное зерно	[(0, 9, 'B-TYPE'), (10, 15, 'I-TYPE')]
ванищ	[(0, 5, 'B-TYPE')]
наборы овощные	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
простоквашаша томмолоко	[(0, 13, 'B-TYPE'), (14, 23, 'B-BRAND')]
яыца	[(0, 4, 'B-TYPE')]
соявый	[(0, 6, 'B-TYPE')]
зерноврй	[(0, 8, 'B-TYPE')]
домаш	[(0, 5, 'B-TYPE')]
принтеры	[(0, 8, 'B-TYPE')]
кнаски	[(0, 6, 'B-TYPE')]
тортик шарли	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
из сельди	[(0, 2, 'B-TYPE'), (3, 9, 'I-TYPE')]
greentek саженец	[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
пепец	[(0, 5, 'B-TYPE')]
астра	[(0, 5, 'B-BRAND')]
ломтики молочные киндер	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 23, 'B-BRAND')]
кексы мини с шоколадом	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE'), (11, 12, 'O'), (13, 22, 'O')]
печенье для малы	[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O')]
оеческий	[(0, 8, 'B-TYPE')]
подушки fan	[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
прмидорка	[(0, 9, 'B-TYPE')]
свет, лам	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
поводки homep	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
консервп	[(0, 8, 'B-TYPE')]
бальзамическиц	[(0, 14, 'B-TYPE')]
перекресток ноз	[(0, 11, 'B-BRAND'), (12, 15, 'B-TYPE')]
вода красна	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
чай зел	[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]
тесто фило	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
безалк	[(0, 6, 'B-TYPE')]
замороженные кулинари	[(0, 12, 'B-TYPE'), (13, 21, 'I-TYPE')]
боллньезе	[(0, 9, 'B-TYPE')]
творог брикет	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
ежевика	[(0, 7, 'B-TYPE')]
маркет смородин	[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
сухарики с соусом	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
libresse проклад	[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
батончтк	[(0, 8, 'B-TYPE')]
презервати	[(0, 10, 'B-TYPE')]
сосииски	[(0, 8, 'B-TYPE')]
хлебнецы	[(0, 8, 'B-TYPE')]
копуста	[(0, 7, 'B-TYPE')]
горофек	[(0, 7, 'B-TYPE')]
крем-мыло do	[(0, 9, 'B-TYPE'), (10, 12, 'B-BRAND')]
печеньеоь	[(0, 9, 'B-TYPE')]
венчик	[(0, 6, 'B-TYPE')]
сахарэ	[(0, 6, 'B-TYPE')]
штопор электрически	[(0, 6, 'B-TYPE'), (7, 19, 'I-TYPE')]
текила с	[(0, 6, 'B-TYPE'), (7, 8, 'B-BRAND')]
lenco	[(0, 5, 'B-BRAND')]
торрт	[(0, 5, 'B-TYPE')]
орехи с изюмом	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O')]
сырок8	[(0, 6, 'B-TYPE')]
энергнтик	[(0, 9, 'B-TYPE')]
моцарелла умала	[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]
корбуша	[(0, 7, 'B-TYPE')]
гель длямцтья посуды	[(0, 4, 'B-TYPE'), (5, 13, 'O'), (14, 20, 'O')]
стакан borgono	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
конверттк	[(0, 9, 'B-TYPE')]
pink	[(0, 4, 'B-BRAND')]
малины производст	[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND')]
консервы кусков	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
средство для мыт	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 16, 'O')]
форма для кексо	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]
спагптти	[(0, 8, 'B-TYPE')]
дереенски лкомста	[(0, 9, 'O'), (10, 17, 'O')]
каручтно	[(0, 8, 'B-TYPE')]
филе грудки ля тифа	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE'), (12, 14, 'O'), (15, 19, 'O')]
панеровочные	[(0, 12, 'B-TYPE')]
роскар	[(0, 6, 'B-BRAND')]
шпик останки	[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]
блузка lem	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
жик мл	[(0, 3, 'O'), (4, 6, 'O')]
пельмениэ	[(0, 9, 'B-TYPE')]
лапша для бес	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 13, 'O')]
паста ореховая	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
lay's	[(0, 5, 'B-BRAND')]
селёдь	[(0, 6, 'B-TYPE')]
сода с.пудов	[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]
talosto то	[(0, 7, 'B-BRAND'), (8, 10, 'B-TYPE')]
творожные продукты	[(0, 9, 'B-TYPE'), (10, 18, 'I-TYPE')]
круосан	[(0, 7, 'B-TYPE')]
мандаринв	[(0, 9, 'B-TYPE')]
маринад для крылышек	[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O')]
копчености	[(0, 10, 'B-TYPE')]
сулугн	[(0, 6, 'B-TYPE')]
пижамы, сорочк	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
торта s	[(0, 5, 'B-TYPE'), (6, 7, 'B-BRAND')]
моркоф	[(0, 6, 'B-TYPE')]
жаренки	[(0, 7, 'B-TYPE')]
копчоно	[(0, 7, 'B-TYPE')]
бличник	[(0, 7, 'B-TYPE')]
зажигалка polari	[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]
порошка nordland	[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]
гречас	[(0, 6, 'B-TYPE')]
мортадель студн	[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
наборы овощны	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
витчена	[(0, 7, 'B-TYPE')]
пир0ожные	[(0, 9, 'B-TYPE')]
ммнералка	[(0, 9, 'B-TYPE')]
масляны	[(0, 7, 'B-TYPE')]
макаронные изделия	[(0, 10, 'B-TYPE'), (11, 18, 'I-TYPE')]
бумажные дыроколы	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
кефир из села	[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 13, 'O')]
терияк	[(0, 6, 'B-TYPE')]
диски safira	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
средство от пыли	[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 16, 'O')]
варено-копченны	[(0, 15, 'B-TYPE')]
хлеб воскресенский	[(0, 4, 'B-TYPE'), (5, 18, 'I-TYPE')]
centrum степлер	[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
фонраи	[(0, 6, 'B-TYPE')]
хлубушек	[(0, 8, 'B-TYPE')]
молоко безл	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
персона	[(0, 7, 'B-TYPE')]
стм арбу	[(0, 3, 'B-BRAND'), (4, 8, 'B-TYPE')]
каоьмар	[(0, 7, 'B-TYPE')]
кукурузных	[(0, 10, 'B-TYPE')]
мятная	[(0, 6, 'B-TYPE')]
лимонд	[(0, 6, 'B-TYPE')]
лимонадф	[(0, 8, 'B-TYPE')]
снущенное	[(0, 9, 'B-TYPE')]
печенье овсяное с шо	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 17, 'O'), (18, 20, 'O')]
средствт для стекол	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
actimeuno	[(0, 9, 'B-BRAND')]
вилка дю	[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND')]
king	[(0, 4, 'B-BRAND')]
кркндельки	[(0, 10, 'B-TYPE')]
аф	[(0, 2, 'O')]
детские творожки	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
сыров мягки	[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
козтнае	[(0, 7, 'B-TYPE')]
макаронн	[(0, 8, 'B-TYPE')]
баклажан ро	[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
томантная	[(0, 9, 'B-TYPE')]
куры мо	[(0, 4, 'B-TYPE'), (5, 7, 'I-TYPE')]
женские набор	[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
ликёро-водочн	[(0, 13, 'B-TYPE')]
нисгущенка	[(0, 10, 'B-TYPE')]
сыр сливочный	[(0, 3, 'B-TYPE'), (4, 13, 'I-TYPE')]
кефри	[(0, 5, 'B-TYPE')]
маслой	[(0, 6, 'B-TYPE')]
прочее свеж	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
яблокиф	[(0, 7, 'B-TYPE')]
ацидовфилин	[(0, 11, 'B-TYPE')]
мамал	[(0, 5, 'B-TYPE')]
клубниаа	[(0, 8, 'B-TYPE')]
trufwllo	[(0, 8, 'B-BRAND')]
чанах flori	[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
топинабур	[(0, 9, 'B-TYPE')]
боршевая	[(0, 8, 'B-TYPE')]
салатики	[(0, 8, 'B-TYPE')]
пмроженое	[(0, 9, 'B-TYPE')]
кисломолочные коктей	[(0, 13, 'B-TYPE'), (14, 20, 'I-TYPE')]
кальмар балтийский берег	[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 24, 'B-BRAND')]
lre	[(0, 3, 'O')]
боржоми	[(0, 7, 'B-BRAND')]
гел для пасуда	[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 14, 'O')]
протеинрвые	[(0, 11, 'B-TYPE')]
паокадо	[(0, 7, 'B-TYPE')]
hainz	[(0, 5, 'B-BRAND')]
индейка бедро	[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
блеск для обуви	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]
бумага смоби	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
ocean сельдь	[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
батон муромский	[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]
пасти	[(0, 5, 'B-TYPE')]
шпикачки  черкашин	[(0, 9, 'B-TYPE'), (10, 18, 'B-BRAND')]
coca-	[(0, 5, 'B-BRAND')]
свинные	[(0, 7, 'B-TYPE')]
сковора	[(0, 7, 'B-TYPE')]
центрум облож	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
минкральнвя	[(0, 11, 'B-TYPE')]
средство для мытья зеркал	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O'), (19, 25, 'O')]
ипв.	[(0, 4, 'B-TYPE')]
гольфы oemen	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
энергктмк	[(0, 9, 'B-TYPE')]
какша	[(0, 5, 'B-TYPE')]
полукопченая колбасное	[(0, 12, 'B-TYPE'), (13, 22, 'I-TYPE')]
водка icebe	[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
чернослив амперса	[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
бездрожжевой	[(0, 12, 'B-TYPE')]
каклеты для бургеров	[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O')]
маайонез	[(0, 8, 'B-TYPE')]
морква	[(0, 6, 'B-TYPE')]
комбинезо	[(0, 9, 'B-TYPE')]
энергиик	[(0, 8, 'B-TYPE')]
мягкие	[(0, 6, 'B-TYPE')]
напомлнитель	[(0, 12, 'B-TYPE')]
мороненное	[(0, 10, 'B-TYPE')]
чипсы нори	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
сосьет	[(0, 6, 'B-TYPE')]
варено-копченые коровин	[(0, 15, 'B-TYPE'), (16, 23, 'B-BRAND')]
корм кошачий сухой perfect fit	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 18, 'I-TYPE'), (19, 26, 'B-BRAND'), (27, 30, 'I-BRAND')]
порошок стиральный ариэль	[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 25, 'B-BRAND')]
ьатончик	[(0, 8, 'B-TYPE')]
шгрибы	[(0, 6, 'B-TYPE')]
шпикачки йо	[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
тыкв	[(0, 4, 'B-TYPE')]
пакеты доя едв	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 14, 'O')]
сырок гла	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
сыр тельзитер	[(0, 3, 'B-TYPE'), (4, 13, 'I-TYPE')]
памперсы	[(0, 8, 'B-BRAND')]
вяленая рыба	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
облепи	[(0, 6, 'B-TYPE')]
палочуи	[(0, 7, 'B-TYPE')]
приправа смесь перцев	[(0, 8, 'B-TYPE'), (9, 14, 'O'), (15, 21, 'O')]
мармеладк	[(0, 9, 'B-TYPE')]
чопсы	[(0, 5, 'B-TYPE')]
моцарелл	[(0, 8, 'B-TYPE')]
зубачистки	[(0, 10, 'B-TYPE')]
творожокх	[(0, 9, 'B-TYPE')]
корм вискас рагу	[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND'), (12, 16, 'I-TYPE')]
кози	[(0, 4, 'B-TYPE')]
фруктоза вкус&поль	[(0, 8, 'B-TYPE'), (9, 18, 'B-BRAND')]
компотеый	[(0, 9, 'B-TYPE')]
котфы	[(0, 5, 'B-TYPE')]
томатоты	[(0, 8, 'B-TYPE')]
варенья	[(0, 7, 'B-TYPE')]
помт	[(0, 4, 'B-TYPE')]
кукуру	[(0, 6, 'B-TYPE')]
scand	[(0, 5, 'B-BRAND')]
маслоны	[(0, 7, 'B-TYPE')]
горох колотый	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
тараллины	[(0, 9, 'B-TYPE')]
губок valiant	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
маковки	[(0, 7, 'B-TYPE')]
моррковь	[(0, 8, 'B-TYPE')]
игруш	[(0, 5, 'B-TYPE')]
клубника	[(0, 8, 'B-TYPE')]
бедро без кожи	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O')]
длук	[(0, 4, 'B-TYPE')]
докторская колбаса	[(0, 10, 'B-TYPE'), (11, 18, 'I-TYPE')]
торты	[(0, 5, 'B-TYPE')]
стекломой idilan	[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]
охлажденные пути	[(0, 11, 'B-TYPE'), (12, 16, 'B-BRAND')]
трубочки бля молока	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
маслло	[(0, 6, 'B-TYPE')]
artfruit виноград	[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
персил против запахов	[(0, 6, 'B-TYPE'), (7, 13, 'O'), (14, 21, 'O')]
галеты здра	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
l delie	[(0, 1, 'O'), (2, 7, 'O')]
violet подуш	[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
салат крабовый	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
кармашек	[(0, 8, 'B-TYPE')]
сок томатный	[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE')]
kozelki если	[(0, 7, 'B-BRAND'), (8, 12, 'O')]
коефеты	[(0, 7, 'B-TYPE')]
железногорский пряни	[(0, 14, 'B-BRAND'), (15, 20, 'B-TYPE')]
восход лаваш	[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
кролик охлажденны	[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE')]
сметап	[(0, 6, 'B-TYPE')]
honey	[(0, 5, 'B-TYPE')]
губи для посуды	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
отруби	[(0, 6, 'B-TYPE')]
blondi	[(0, 6, 'B-BRAND')]
огурец солен	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
grass ополаскиватель	[(0, 5, 'B-BRAND'), (6, 20, 'B-TYPE')]
пензенский твор	[(0, 10, 'B-BRAND'), (11, 15, 'B-TYPE')]
слибки	[(0, 6, 'B-TYPE')]
saltlets	[(0, 8, 'B-BRAND')]
яблоки гренни	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
проие ыбовощные	[(0, 5, 'O'), (6, 15, 'O')]
doble	[(0, 5, 'B-BRAND')]
рапа	[(0, 4, 'O')]
papadimitriou черник	[(0, 13, 'B-BRAND'), (14, 20, 'B-TYPE')]
протеины	[(0, 8, 'B-TYPE')]
рисй	[(0, 4, 'B-TYPE')]
наволочка унис	[(0, 9, 'B-TYPE'), (10, 14, 'B-BRAND')]
копт	[(0, 4, 'B-TYPE')]
блинн	[(0, 5, 'B-TYPE')]
пальто staye	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
грибы сушен	[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
яцйа	[(0, 4, 'B-TYPE')]
сыр сверхтверды	[(0, 3, 'B-TYPE'), (4, 15, 'I-TYPE')]
батон особый	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
свечк	[(0, 5, 'B-TYPE')]
колп	[(0, 4, 'B-TYPE')]
грибноц	[(0, 7, 'B-TYPE')]
тимонад	[(0, 7, 'B-TYPE')]
подсвечники inte	[(0, 11, 'B-TYPE'), (12, 16, 'B-BRAND')]
крекер lore	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
творобуше	[(0, 9, 'B-TYPE')]
томант	[(0, 6, 'B-TYPE')]
мясная нарезка	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
чашки domeni	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
панчр	[(0, 5, 'B-TYPE')]
губки universal	[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]
колготки размер 5	[(0, 8, 'B-TYPE'), (9, 15, 'O'), (16, 17, 'O')]
чиатта	[(0, 6, 'O')]
моллк	[(0, 5, 'B-TYPE')]
кур ох	[(0, 3, 'B-TYPE'), (4, 6, 'I-TYPE')]
сыр адыгейский	[(0, 3, 'B-TYPE'), (4, 14, 'I-TYPE')]
гоох	[(0, 4, 'B-TYPE')]
круоссан	[(0, 8, 'B-TYPE')]
пиццетка	[(0, 8, 'B-TYPE')]
donat	[(0, 5, 'B-TYPE')]
майонеззный	[(0, 11, 'B-TYPE')]
сахарозам	[(0, 9, 'B-TYPE')]
сельдерей	[(0, 9, 'B-TYPE')]
дентярное	[(0, 9, 'B-TYPE')]
белизна.	[(0, 8, 'B-TYPE')]
тлвор жк	[(0, 5, 'O'), (6, 8, 'O')]
масловой	[(0, 8, 'B-TYPE')]
ячне	[(0, 4, 'B-TYPE')]
сулугуеи	[(0, 8, 'B-TYPE')]
мука кукурузна	[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]
кофе jaco	[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND')]
снеж	[(0, 4, 'B-TYPE')]
sunfeel горошек	[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
форель aos	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
батончики	[(0, 9, 'B-TYPE')]
моколо	[(0, 6, 'B-TYPE')]
бритвенные станки	[(0, 10, 'B-TYPE'), (11, 17, 'I-TYPE')]
капуста.	[(0, 8, 'B-TYPE')]
батат artfru	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
напрлнитель	[(0, 11, 'B-TYPE')]
vigett	[(0, 6, 'B-BRAND')]
велле му	[(0, 5, 'B-BRAND'), (6, 8, 'B-TYPE')]
actimun	[(0, 7, 'B-BRAND')]
nug	[(0, 3, 'B-BRAND')]
прочий ри	[(0, 6, 'B-TYPE'), (7, 9, 'I-TYPE')]
zinu	[(0, 4, 'B-BRAND')]
вермут экстр	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
манго сушеное	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
cannon толстовк	[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
хлопья из пшена	[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
тазы хаусманн	[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND')]
cosmos удлинители	[(0, 6, 'B-BRAND'), (7, 17, 'B-TYPE')]
клфе в капсулах	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 15, 'O')]
лимоная кислота	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
мылр	[(0, 4, 'B-TYPE')]
мендарины	[(0, 9, 'B-TYPE')]
темто слоеное	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
семечу	[(0, 6, 'B-TYPE')]
уп степле	[(0, 2, 'B-BRAND'), (3, 9, 'B-TYPE')]
саофетки	[(0, 8, 'B-TYPE')]
crem	[(0, 4, 'B-TYPE')]
панангасиус	[(0, 11, 'B-TYPE')]
сигареты winston	[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]
соль для посудомой	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 18, 'O')]
колгот. incan	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
маслинв	[(0, 7, 'B-TYPE')]
протеоные	[(0, 9, 'B-TYPE')]
мандаоинв	[(0, 9, 'B-TYPE')]
масло шоко	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
курицы	[(0, 6, 'B-TYPE')]
яйсо	[(0, 4, 'B-TYPE')]
майоре	[(0, 6, 'B-TYPE')]
супы в пачках	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
дички	[(0, 5, 'B-TYPE')]
ветчину	[(0, 7, 'B-TYPE')]
осетинский рассольный	[(0, 10, 'B-TYPE'), (11, 21, 'I-TYPE')]
пшено шебекинские	[(0, 5, 'B-TYPE'), (6, 17, 'B-BRAND')]
пельмени говядина	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
яблоко тенде	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
gourme	[(0, 6, 'B-BRAND')]
драж	[(0, 4, 'B-TYPE')]
беуон	[(0, 5, 'B-TYPE')]
механическ	[(0, 10, 'B-TYPE')]
оноаовый стнок	[(0, 8, 'O'), (9, 14, 'O')]
картошка фри замороженная	[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE'), (13, 25, 'I-TYPE')]
societe minerale	[(0, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
gourmet	[(0, 7, 'B-TYPE')]
пиродные	[(0, 8, 'B-TYPE')]
мясо пюре	[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]
жельен	[(0, 6, 'B-TYPE')]
bucheron	[(0, 8, 'B-BRAND')]
мороженнон	[(0, 10, 'B-TYPE')]
сыр твороженый безлактощный го	[(0, 3, 'B-TYPE'), (4, 14, 'I-TYPE'), (15, 27, 'O'), (28, 30, 'O')]
печены	[(0, 6, 'B-TYPE')]
грушн	[(0, 5, 'B-TYPE')]
мекароны	[(0, 8, 'B-TYPE')]
килька в то	[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 11, 'O')]
мясо курица	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
шампанское оли	[(0, 10, 'B-TYPE'), (11, 14, 'B-BRAND')]
бабушкино лукошко	[(0, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
хбоольый	[(0, 8, 'O')]
паста с грибами	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 15, 'O')]
вермут marti	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
drims	[(0, 5, 'B-BRAND')]
перерц	[(0, 6, 'B-TYPE')]
жимолось	[(0, 8, 'B-TYPE')]
котлены	[(0, 7, 'B-TYPE')]
серну	[(0, 5, 'B-TYPE')]
фаршго	[(0, 6, 'B-TYPE')]
пкльмени	[(0, 8, 'B-TYPE')]
винина	[(0, 6, 'B-TYPE')]
zeitun лосьон	[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
маионез	[(0, 7, 'B-TYPE')]
расинка	[(0, 7, 'B-TYPE')]
энеретик	[(0, 8, 'B-TYPE')]
сеечек	[(0, 6, 'B-TYPE')]
сено	[(0, 4, 'B-TYPE')]
продукты сметанные	[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]
морс без сахара	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
moony трусик	[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
луку	[(0, 4, 'B-TYPE')]
кофйный	[(0, 7, 'B-TYPE')]
залвные	[(0, 7, 'B-TYPE')]
отверток matr	[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
от лыча	[(0, 2, 'O'), (3, 7, 'O')]
мололо	[(0, 6, 'B-TYPE')]
